title,id,author,date,doi,type
evidence for longitudinally polarized w bosons in the electroweak production of same-sign w boson pairs in association with two jets in pp collisions at sqrt[s]=13  tev with the atlas detector,41004732,"['aad g, aakvaag e, abbott b, abdelhameed s, abeling k, abicht nj, abidi sh, aboelela m, aboulhorma a, abramowicz h, abulaiti y, acharya bs, ackermann a, adam bourdarios c, adamczyk l, addepalli sv, addison mj, adelman j, adiguzel a, adye t, affolder aa, afik y, agaras mn, aggarwal a, agheorghiesei c, ahmadov f, ahuja s, ai x, aielli g, aikot a, ait tamlihat m, aitbenchikh b, akbiyik m, akesson tpa, akimov av, akiyama d, akolkar nn, aktas s, alberghi gl, albert j, albicocco p, albouy gl, alderweireldt s, alegria zl, aleksa m, aleksandrov in, alexa c, alexopoulos t, alfonsi f, algren m, alhroob m, ali b, ali hmj, ali s, alibocus sw, aliev m, alimonti g, alkakhi w, allaire c, allbrooke bmm, allen js, allen jf, allport pp, aloisio a, alonso f, alpigiani c, alsolami zmk, alvarez fernandez a, alves cardoso m, alviggi mg, aly m, amaral coutinho y, ambler a, amelung c, amerl m, ames cg, amezza t, amidei d, amini b, amirie k, amirkhanov a, amor dos santos sp, amos kr, amperiadou d, an s, anastopoulos c, andeen t, anders jk, anderson ac, andreazza a, angelidakis s, angerami a, anisenkov av, annovi a, antel c, antipov e, antonelli m, anulli f, aoki m, aoki t, et al.']",2025,10.1103/bpln-ccql,TypeEnum.ARTICLE
integrative functional genomics analysis of kaposi sarcoma cohorts,41073438,"['lacunza e, fink v, naipauer j, salas me, gun am, goldman mj, zhu j, williams s, figueroa mi, cahn p, coso o, cesarman e, ramos jc, abba mc.']",2025,10.1038/s41598-025-08564-4,TypeEnum.ARTICLE
cannabidiol combined with gabaergic drugs but not with sodium channel blockers prevents the development of drug-resistance seizures in a preclinical model,41050418,"['fuentes-mejia m, fallico mj, talevi a, gavernet l, orozco-suarez sa, rocha l.']",2025,10.3389/fphar.2025.1644018,TypeEnum.ARTICLE
gdnf overexpression in astrocytes enhances branching and partially preserves hippocampal function in an alzheimer's rat model,40456763,"['vidal escobedo aa, peralta f, morel gr, avallone m, bjorklund t, reggiani pc, pardo j.']",2025,10.1038/s41598-025-02881-4,TypeEnum.ARTICLE
metabolic profiles of finishing and nonfinishing horses in uruguayan raid competitions,41357616,"['brito g, damian jp, trigo p, ruprechter g.']",2025,10.1155/vmi/4217400,TypeEnum.ARTICLE
are plant-based diets detrimental to muscular strength? a systematic review and meta-analysis of randomized controlled trials,40455307,"['lopez-moreno m, rossi ev, lopez-gil jf, marrero-fernandez p, roldan-ruiz a, bertotti g.']",2025,10.1186/s40798-025-00852-7,TypeEnum.ARTICLE
long-term impact of the covid-19 pandemic on physical activity and estimated cardiorespiratory fitness in south american adults: a multi-country cross-sectional online survey,40759970,"['dourado vz, morais pereira simoes mds, lauria vt, gulayin p, gutierrez l, pena-silva r, pereyra-gonzalez i, ortiz a, lopez-arana s, widyahening is, al-shaar l, danaei g, poggio r; on behalf of lown scholars in physical activity and fitness network (pa&fit).']",2025,10.1186/s13690-025-01664-7,TypeEnum.ARTICLE
fine tuning the morphology of peptide amphiphile nanostructures via co-assembly,40666201,"['fiora mm, xing h, cathcarth m, garate o, herrera s, picco as, ybarra g, conda-sheridan m, tagliazucchi m.']",2025,10.1039/d5sc02935j,TypeEnum.ARTICLE
biotransformation and biological fate of magnetic iron oxide nanoparticles for biomedical research and clinical applications,40255989,"['jacinto c, javed y, lavorato g, tarraga wa, conde bic, orozco jm, picco as, garcia j, dias csb, malik s, sharma sk.']",2025,10.1039/d5na00195a,TypeEnum.ARTICLE
does provable absence of barren plateaus imply classical simulability?,40855050,"['cerezo m, larocca m, garcia-martin d, diaz nl, braccia p, fontana e, rudolph ms, bermejo p, ijaz a, thanasilp s, anschuetz er, holmes z.']",2025,10.1038/s41467-025-63099-6,TypeEnum.ARTICLE
