id_document1,id_document2,rules,similarity
10915/171464,None,None,NO_DUPLICATE
10915/171695,None,None,NO_DUPLICATE
10915/171723,None,None,NO_DUPLICATE
10915/173895,None,None,NO_DUPLICATE
10915/173896,None,None,NO_DUPLICATE
10915/173897,None,None,NO_DUPLICATE
10915/173898,None,None,NO_DUPLICATE
10915/173899,None,None,NO_DUPLICATE
10915/173900,None,None,NO_DUPLICATE
10915/173901,None,None,NO_DUPLICATE
10915/173902,None,None,NO_DUPLICATE
10915/173903,None,None,NO_DUPLICATE
10915/173904,None,None,NO_DUPLICATE
10915/173905,None,None,NO_DUPLICATE
10915/173906,None,None,NO_DUPLICATE
10915/173907,None,None,NO_DUPLICATE
10915/173908,None,None,NO_DUPLICATE
10915/173909,None,None,NO_DUPLICATE
10915/173910,None,None,NO_DUPLICATE
10915/173911,None,None,NO_DUPLICATE
10915/173912,None,None,NO_DUPLICATE
10915/173913,None,None,NO_DUPLICATE
10915/173914,None,None,NO_DUPLICATE
10915/173915,None,None,NO_DUPLICATE
10915/173916,None,None,NO_DUPLICATE
10915/173917,None,None,NO_DUPLICATE
10915/173918,None,None,NO_DUPLICATE
10915/173919,None,None,NO_DUPLICATE
10915/173920,None,None,NO_DUPLICATE
10915/173921,None,None,NO_DUPLICATE
10915/173922,None,None,NO_DUPLICATE
10915/173923,None,None,NO_DUPLICATE
10915/173924,None,None,NO_DUPLICATE
10915/173925,None,None,NO_DUPLICATE
10915/173926,None,None,NO_DUPLICATE
10915/173927,None,None,NO_DUPLICATE
10915/173928,None,None,NO_DUPLICATE
10915/173929,None,None,NO_DUPLICATE
10915/173930,None,None,NO_DUPLICATE
10915/173931,None,None,NO_DUPLICATE
10915/173932,None,None,NO_DUPLICATE
10915/173933,None,None,NO_DUPLICATE
10915/173934,None,None,NO_DUPLICATE
10915/173935,None,None,NO_DUPLICATE
10915/173936,None,None,NO_DUPLICATE
10915/173937,None,None,NO_DUPLICATE
10915/173938,None,None,NO_DUPLICATE
10915/173939,None,None,NO_DUPLICATE
10915/173940,None,None,NO_DUPLICATE
10915/173941,None,None,NO_DUPLICATE
10915/173942,None,None,NO_DUPLICATE
10915/173943,None,None,NO_DUPLICATE
10915/173944,None,None,NO_DUPLICATE
10915/173945,None,None,NO_DUPLICATE
10915/173946,None,None,NO_DUPLICATE
10915/173947,None,None,NO_DUPLICATE
10915/173948,None,None,NO_DUPLICATE
10915/173949,None,None,NO_DUPLICATE
10915/173950,None,None,NO_DUPLICATE
10915/173951,None,None,NO_DUPLICATE
10915/173952,None,None,NO_DUPLICATE
10915/173953,None,None,NO_DUPLICATE
10915/173954,None,None,NO_DUPLICATE
10915/173955,None,None,NO_DUPLICATE
10915/173956,None,None,NO_DUPLICATE
10915/173957,None,None,NO_DUPLICATE
10915/173958,None,None,NO_DUPLICATE
10915/173959,None,None,NO_DUPLICATE
10915/173960,None,None,NO_DUPLICATE
10915/173961,None,None,NO_DUPLICATE
10915/173962,None,None,NO_DUPLICATE
10915/173963,None,None,NO_DUPLICATE
10915/173964,None,None,NO_DUPLICATE
10915/173965,None,None,NO_DUPLICATE
10915/173966,None,None,NO_DUPLICATE
10915/173967,None,None,NO_DUPLICATE
10915/173968,None,None,NO_DUPLICATE
10915/173969,None,None,NO_DUPLICATE
10915/173970,None,None,NO_DUPLICATE
10915/173971,None,None,NO_DUPLICATE
10915/173972,None,None,NO_DUPLICATE
10915/173973,None,None,NO_DUPLICATE
