id_koha,titulo,autor,anio_publicacion,tipo_tesis,institucion,anio_titulo
43498,"El cuerpo de la danza clásica y los cuerpos de la danza contemporánea","Álvarez Jofre, Cecilia",,"Especialización en Danza (Línea de formación Análisis de la producción coreográfica).","Universidad Nacional de La Plata. Facultad de Bellas Artes",2016
32656,"El diseño en la Argentina","Amat, Mónica",,,,
43505,"El Dispositivo Cine Colombiano :","Rodríguez, Esteban Ángel",,"Doctorado en Artes.","Universidad Nacional de La Plata. Facultad de Bellas Artes",2019
32772,"El espacio","Elordi, Andrea Cecilia",,,,
32596,"El espacio de la plaza Moreno como espacio de encuentro de lo Divino y lo Humano","Bautista, Gustavo Javier",,,,
32837,"El Filete Porteño :","Guerrero, Verónica",,,,
32909,"El filete reconsiderado; Aerolineas Argentinas","Nadal, Patricio",,,,
42910,"El guión moderno, un juego de escritura audiovisualizante :","Moreno, Pablo Martín",,"Licenciado en Artes Audiovisuales (orientación Teoría y Crítica).","Universidad Nacional de La Plata. Facultad de Artes",2020
28362,"El Juego de manos como ejecución musical","Lucero, Mónica Graciela",,Maestría.,"Facultad de Bellas Artes. Unlp",2015
32628,"El ladrillo","Falcón Lima, Domingo",,,,
41752,"El lugar del público en las instalaciones interactivas y robóticas del arte electrónico en Buenos Aires","Miranda Povera, Harold",,,,
32673,"El mate en la platería argentina","Carri Saraví, Andrea",,,,
43518,"El movimiento corporal en la expresión de la música :","Epele, Juliette",,"Maestría en Psicología de la música.","Universidad Nacional de La Plata. Facultas de Bellas Artes",2019
32605,"El papel","Busana, Amanda B",,,,
42952,"El paraboide hiperbólico como motivo formal en la escultura","Martínez, Marisol",,"Licenciada en Artes Plásticas (orientación Escultura).","Universidad Nacional de La Plata. Facultad de Artes",2020
39470,"El Rol del Movimiento Corporal Manifiesto en Tareas de Lectura Cantada a Primera Vista","Pereira Ghiena, Alejandro",,Maestría.,"Facultad de Bellas Artes. UNLP",2014
31372,"El sistema nervioso central está alerta para gran orquesta","Dobrovsky, Ezequiel",,,,
30209,"El sujeto descentralizado en la obra de León de Greiff","Salamanca, Óscar",,"Magíster en Estética y Teoría de las Artes.","Facultad de Bellas Artes. UNLP",2013
32581,"El teatro de titeres y su musica en la Argentina","Vainer, Irene",,,,
32743,"El teatro japonés","Nowell, María del Carmen",,,,
32887,"El Tiempo de Azul","Pessina, Alejandro",,,,
32981,"El viejo teatro","Ortega, Adriana I",,,,
32649,"El Zoo de La Plata :","Alonso, Sandro Daniel",,,,
32597,"Emplazamiento de un monumento de estructura totemica (vertical) en la zona parquizada al frente del ex-comedor universitario de la Universidad Nacional de La Plata","González, Enrique Francisco",,,,
32881,"Empresa Condiar S.R.L. Packaging","Rossotti, Araceli E",,,,
43529,"En busca de la felicidad identitaria  :","Radice, Gustavo",,"Tesis de Doctoraro.","Universidad Nacional de La Plata. Facultad de Bellas Artes",2019
43538,"Ensayos curatoriales :","Trípodi, María Victoria",,"Tesis colectiva. Licenciatura en Historia del Arte (orientacion en Artes Visuales).","Universidad Nacional de La Plata. Facultad de Bellas Artes",2018
43166,"Equipamiento de playa","Lascano, Patricia Elet",,"Proyecto de graduación.","Facultad de Bellas Artes. UNLP",1980
43226,"Equipamiento para aulas de Jardín de Infantes","Horvat, Clara",,"Proyecto de graduación.","Facultad de Bellas Artes. UNLP",1981
43228,"Equipamiento para habitat universitario :","Inda, Guillermo Roberto",,"Proyecto de graduación.","Facultad de Bellas Artes. UNLP",1980
32864,"Equipamiento para indumentaria y artículos deportivos","Garuti, María",,,,
43153,"Equipamiento para Jardín de Infantes","Dagfal, Dardo M",,"Proyecto de graduación.","Facultad de Bellas Artes. UNLP",1986
43195,"Equipamiento para laboratorio de idiomas","García, Viviana Roxana",,"Proyecto de graduación.","Facultad de Bellas Artes. UNLP",1985
43249,"Equipamiento para locales de indumentaria femenina :","Alfano, Marina",,"Proyecto de graduación.","Facultad de Bellas Artes. UNLP",1989
43237,"Equipamiento para pequeños aeropuertos","Rabbione, Juan Ernesto",,"Proyecto de graduación.","Facultad de Bellas Artes. UNLP",1980
43244,"Equipamiento para plazas de pueblo con juegos para niños","Kuszek, Elisabet",,"Proyecto de graduación.","Facultad de Bellas Artes. UNLP",1983
43205,"Equipamiento para sala de Jardín de Infantes :","Bianchi, Walter",,"Proyecto de graduación.","Facultad de Bellas Artes. UNLP",1985
43250,"Equipamiento para tienda de modas","Campbell, Lorna",,"Proyecto de graduación.","Facultad de Bellas Artes. UNLP",1986
43174,"Equipamiento sanitario","Virnik, Magdalena Ana",,"Proyecto de graduación.","Facultad de Bellas Artes. UNLP",1979
43248,"Equipamiento urbano","Edelstein, Alberto Guillermo",,"Proyecto de graduación.","Facultad de Bellas Artes. UNLP",1979
43127,"Equipamientos para oficinas publicas de Entel :","Wagner, Elena Luisa",,"Proyecto de graduación.","Facultad de Bellas Artes. UNLP",1984
43183,"Equipo odontológico","Zubik, Daniel",,"Proyecto de graduación.","Facultad de Bellas Artes. UNLP",1989
43128,"Equipo para perforaciones","Heras, Pablo H",,"Proyecto de graduación.","Facultad de Bellas Artes. UNLP",1986
43224,"Escalera para el hogar","Llanos, Raquel Edith",,"Proyecto de graduación.","Facultad de Bellas Artes. UNLP",1988
31365,"Escenas en lo oscuro :","Mejía Burgos, Balbina",,,,
43528,"Escenas sonoras :","Mansilla Pons, Ramiro",,"Tesis de Doctorado en Artes.","Universidad Nacional de La Plata. Facultad de Bellas Artes",2019
